Fallback report due to missing python-docx or other error.

                   count         mean          std          min          25%          50%          75%           max
rpm                868.0  3036.133641  1245.407886  1991.000000  2000.000000  2663.000000  5000.000000   5000.000000
pitch_deg          868.0    39.025346    22.103767     0.000000    15.000000    44.000000    60.000000     60.000000
blades             868.0     3.671659     1.738837     1.000000     2.000000     4.000000     5.000000      6.000000
thrust_N           868.0  2123.321136  2441.640729     0.000000   699.616799  1286.086942  2236.883179  11929.141632
power_W            868.0  3664.201301  5362.869941    93.874628   539.698060  1057.986914  5031.659530  26816.481770
efficiency         868.0    11.420170     6.833892     0.000000     7.054504     8.800386    19.192789     22.036272
disk_loading_N_m2  868.0  2703.496436  3108.793530     0.000000   890.779775  1637.496753  2848.088121  15188.654860
power_loading_N_W  868.0     1.164136     0.696625     0.000000     0.719114     0.897083     1.956451      2.246307
tip_speed_m_s      868.0   158.971586    65.209404   104.248516   104.719755   139.434354   261.799388    261.799388
tip_mach           868.0     0.463474     0.190115     0.303932     0.305305     0.406514     0.763264      0.763264
cl                 868.0     2.242301     0.846206     0.000000     1.570796     2.720699     2.720699      3.141516
cd                 868.0     0.021131     0.009523     0.008000     0.010010     0.022477     0.030500      0.030500
