,count,mean,std,min,25%,50%,75%,max
rpm,868.0,3036.1336405529955,1245.4078863337143,1991.0,2000.0,2663.0,5000.0,5000.0
pitch_deg,868.0,39.025345622119815,22.103767088174145,0.0,15.0,44.00000000000003,60.0,60.0
blades,868.0,3.671658986175115,1.7388374628179273,1.0,2.0,4.0,5.0,6.0
thrust_N,868.0,2123.3211358076196,2441.640729027673,0.0,699.6167991954387,1286.0869422870182,2236.8831791042358,11929.141631604103
power_W,868.0,3664.2013014189693,5362.869940595556,93.87462781787046,539.6980599822305,1057.9869137323876,5031.659530057386,26816.481770085684
efficiency,868.0,11.420170170403349,6.8338920408227475,0.0,7.054504052388548,8.80038644667529,19.19278856562962,22.036271746946625
disk_loading_N_m2,868.0,2703.4964362822425,3108.793530234025,0.0,890.7797748966722,1637.4967528873606,2848.0881205884216,15188.654860104887
power_loading_N_W,868.0,1.164135593313287,0.6966250806139396,0.0,0.7191135629346125,0.897083225960784,1.9564514338052617,2.2463070078436926
tip_speed_m_s,868.0,158.9715856746354,65.20940444047982,104.2485162216213,104.71975511965977,139.434353941827,261.79938779914943,261.79938779914943
tip_mach,868.0,0.46347401071322275,0.19011488175067004,0.303931534173823,0.3053054085121276,0.4065141514338979,0.763263521280319,0.763263521280319
cl,868.0,2.2423008114345926,0.8462062184700625,0.0,1.5707963267948966,2.7206990463513265,2.7206990463513265,3.1415160951928884
cd,868.0,0.02113104180006643,0.00952277701804706,0.008,0.0100096189432334,0.022476507549462447,0.0304999999999999,0.0304999999999999
